photon_energy,axion_mass,flux
4.772972972972973515e+00,0.000000000000000000e+00,5.282791398561064611e+00
4.791891891891891575e+00,0.000000000000000000e+00,5.250949286847926167e+00
4.810810810810810523e+00,0.000000000000000000e+00,5.219096651033122924e+00
4.829729729729729470e+00,0.000000000000000000e+00,5.187237626194121098e+00
4.848648648648648418e+00,0.000000000000000000e+00,5.155376275129181174e+00
4.867567567567567366e+00,0.000000000000000000e+00,5.123516588901405377e+00
4.886486486486486314e+00,0.000000000000000000e+00,5.091662487391317882e+00
4.905405405405405261e+00,0.000000000000000000e+00,5.059817819857481247e+00
4.924324324324324209e+00,0.000000000000000000e+00,5.027986365504719224e+00
4.943243243243243157e+00,0.000000000000000000e+00,4.996171834059583539e+00
4.962162162162162105e+00,0.000000000000000000e+00,4.964377866352552182e+00
4.981081081081081052e+00,0.000000000000000000e+00,4.932608034906611039e+00
5.000000000000000000e+00,0.000000000000000000e+00,4.900865844531850257e+00
5.018918918918918948e+00,0.000000000000000000e+00,4.869154732925612628e+00
5.037837837837837895e+00,0.000000000000000000e+00,4.837478071277897307e+00
5.056756756756756843e+00,0.000000000000000000e+00,4.805839164881611225e+00
5.075675675675675791e+00,0.000000000000000000e+00,4.774241253747321778e+00
5.094594594594594739e+00,0.000000000000000000e+00,4.742687513222170637e+00
5.113513513513512798e+00,0.000000000000000000e+00,4.711181054612596064e+00
5.132432432432431746e+00,0.000000000000000000e+00,4.679724925810575975e+00
5.151351351351350694e+00,0.000000000000000000e+00,4.648322111923012478e+00
5.170270270270269641e+00,0.000000000000000000e+00,4.616975535904012773e+00
5.189189189189188589e+00,0.000000000000000000e+00,4.585688059189700461e+00
5.208108108108107537e+00,0.000000000000000000e+00,4.554462482335322804e+00
5.227027027027026485e+00,0.000000000000000000e+00,4.523301545654332401e+00
5.245945945945945432e+00,0.000000000000000000e+00,4.492207929859175941e+00
5.264864864864864380e+00,0.000000000000000000e+00,4.461184256703521811e+00
5.283783783783783328e+00,0.000000000000000000e+00,4.430233089625672527e+00
5.302702702702702275e+00,0.000000000000000000e+00,4.399356934392891105e+00
5.321621621621621223e+00,0.000000000000000000e+00,4.368558239746421101e+00
5.340540540540540171e+00,0.000000000000000000e+00,4.337839398046930306e+00
